"","Species","NonGaps","removedPerGaps","removedMasking"
"Ginkgo_biloba","Ginkgo_biloba",1419,FALSE,FALSE
"Achillea_millefolium","Achillea_millefolium",1475,FALSE,FALSE
"Amphicarpaea_bracteata","Amphicarpaea_bracteata",1413,FALSE,FALSE
"Apocynum_cannabinum","Apocynum_cannabinum",1440,FALSE,FALSE
"Asclepias_syriaca","Asclepias_syriaca",1440,FALSE,FALSE
"Asclepias_verticillata","Asclepias_verticillata",1476,FALSE,FALSE
"Asparagus_officinalis","Asparagus_officinalis",1420,FALSE,FALSE
"Bromus_inermis","Bromus_inermis",1471,FALSE,FALSE
"Calamagrostis_canadensis","Calamagrostis_canadensis",1471,FALSE,FALSE
"Caltha_palustris","Caltha_palustris",1401,FALSE,FALSE
"Campanula_rotundifolia","Campanula_rotundifolia",1432,FALSE,FALSE
"Celastrus_scandens","Celastrus_scandens",1448,FALSE,FALSE
"Comandra_umbellata","Comandra_umbellata",1487,FALSE,FALSE
"Convolvulus_arvensis","Convolvulus_arvensis",1465,FALSE,FALSE
"Cornus_alternifolia","Cornus_alternifolia",1367,FALSE,FALSE
"Cornus_racemosa","Cornus_racemosa",1350,FALSE,FALSE
"Cornus_sericea","Cornus_sericea",1460,FALSE,FALSE
"Salsola_kali","Salsola_kali",1471,FALSE,FALSE
"Festuca_rubra","Festuca_rubra",1414,FALSE,FALSE
"Galium_aparine","Galium_aparine",1476,FALSE,FALSE
"Heliopsis_helianthoides","Heliopsis_helianthoides",1487,FALSE,FALSE
"Impatiens_capensis","Impatiens_capensis",1487,FALSE,FALSE
"Juniperus_communis","Juniperus_communis",1267,FALSE,FALSE
"Leersia_oryzoides","Leersia_oryzoides",1484,FALSE,FALSE
"Mollugo_verticillata","Mollugo_verticillata",1485,FALSE,FALSE
"Monarda_fistulosa","Monarda_fistulosa",1481,FALSE,FALSE
"Nepeta_cataria","Nepeta_cataria",1487,FALSE,FALSE
"Oxalis_stricta","Oxalis_stricta",1439,FALSE,FALSE
"Penstemon_gracilis","Penstemon_gracilis",1487,FALSE,FALSE
"Penthorum_sedoides","Penthorum_sedoides",1487,FALSE,FALSE
"Phleum_pratense","Phleum_pratense",1429,FALSE,FALSE
"Phryma_leptostachya","Phryma_leptostachya",1448,FALSE,FALSE
"Physalis_virginiana","Physalis_virginiana",1487,FALSE,FALSE
"Populus_tremuloides","Populus_tremuloides",1487,FALSE,FALSE
"Portulaca_oleracea","Portulaca_oleracea",1442,FALSE,FALSE
"Elymus_smithii","Elymus_smithii",1466,FALSE,FALSE
"Rhus_typhina","Rhus_typhina",1467,FALSE,FALSE
"Rudbeckia_hirta","Rudbeckia_hirta",1487,FALSE,FALSE
"Sagittaria_latifolia","Sagittaria_latifolia",1468,FALSE,FALSE
"Silene_antirrhina","Silene_antirrhina",1465,FALSE,FALSE
"Maianthemum_racemosum","Maianthemum_racemosum",1480,FALSE,FALSE
"Maianthemum_stellatum","Maianthemum_stellatum",1479,FALSE,FALSE
"Solanum_carolinense","Solanum_carolinense",1487,FALSE,FALSE
"Solidago_missouriensis","Solidago_missouriensis",1472,FALSE,FALSE
"Stellaria_media","Stellaria_media",1121,FALSE,FALSE
"Symphoricarpos_occidentalis","Symphoricarpos_occidentalis",1487,FALSE,FALSE
"Typha_angustifolia","Typha_angustifolia",1390,FALSE,FALSE
"Typha_latifolia","Typha_latifolia",1480,FALSE,FALSE
"Urtica_dioica","Urtica_dioica",1441,FALSE,FALSE
"Uvularia_sessilifolia","Uvularia_sessilifolia",1485,FALSE,FALSE
"Verbascum_thapsus","Verbascum_thapsus",1487,FALSE,FALSE
"Verbena_bracteata","Verbena_bracteata",1448,FALSE,FALSE
"Verbena_hastata","Verbena_hastata",1487,FALSE,FALSE
"Zizia_aurea","Zizia_aurea",1487,FALSE,FALSE
"Euphorbia_maculata","Euphorbia_maculata",1485,FALSE,FALSE
"Physalis_heterophylla","Physalis_heterophylla",1487,FALSE,FALSE
"Plantago_patagonica","Plantago_patagonica",1487,FALSE,FALSE
"Tragopogon_dubius","Tragopogon_dubius",1178,FALSE,FALSE
