"","OriginalNames","AccN","Species","file","OldSpecies"
"1","AJ235481 Ginkgo biloba","AJ235481","Ginkgo_biloba","atpB.fasta","Ginkgo_biloba"
"2","KT344987 Achillea millefolium","KT344987","Achillea_millefolium","atpB.fasta","Achillea_millefolium"
"3","EU717499 Amphicarpaea bracteata","EU717499","Amphicarpaea_bracteata","atpB.fasta","Amphicarpaea_bracteata"
"4","HQ384762 Apocynum cannabinum","HQ384762","Apocynum_cannabinum","atpB.fasta","Apocynum_cannabinum"
"5","HQ384761 Asclepias syriaca","HQ384761","Asclepias_syriaca","atpB.fasta","Asclepias_syriaca"
"6","KT176234 Asclepias verticillata","KT176234","Asclepias_verticillata","atpB.fasta","Asclepias_verticillata"
"7","AY147630 Asparagus officinalis","AY147630","Asparagus_officinalis","atpB.fasta","Asparagus_officinalis"
"8","DQ780967 Bromus inermis","DQ780967","Bromus_inermis","atpB.fasta","Bromus_inermis"
"9","DQ780970 Calamagrostis canadensis","DQ780970","Calamagrostis_canadensis","atpB.fasta","Calamagrostis_canadensis"
"10","KX526093 Caltha palustris","KX526093","Caltha_palustris","atpB.fasta","Caltha_palustris"
"11","EU437669 Campanula rotundifolia","EU437669","Campanula_rotundifolia","atpB.fasta","Campanula_rotundifolia"
"12","AY788264 Celastrus scandens","AY788264","Celastrus_scandens","atpB.fasta","Celastrus_scandens"
"13","KT176268 Comandra umbellata","KT176268","Comandra_umbellata","atpB.fasta","Comandra_umbellata"
"14","KT176263 Convolvulus arvensis","KT176263","Convolvulus_arvensis","atpB.fasta","Convolvulus_arvensis"
"15","EU373560 Cornus alternifolia","EU373560","Cornus_alternifolia","atpB.fasta","Cornus_alternifolia"
"16","EU373557 Cornus racemosa","EU373557","Cornus_racemosa","atpB.fasta","Cornus_racemosa"
"17","AY725918 Cornus sericea","AY725918","Cornus_sericea","atpB.fasta","Cornus_sericea"
"18","DQ780984 Elymus trachycaulus","DQ780984","Elymus_violaceus","atpB.fasta","Elymus_trachycaulus"
"19","DQ780985 Festuca rubra","DQ780985","Festuca_rubra","atpB.fasta","Festuca_rubra"
"20","KT176272 Galium aparine","KT176272","Galium_aparine","atpB.fasta","Galium_aparine"
"21","KT176240 Heliopsis helianthoides","KT176240","Heliopsis_helianthoides","atpB.fasta","Heliopsis_helianthoides"
"22","KT176266 Impatiens capensis","KT176266","Impatiens_capensis","atpB.fasta","Impatiens_capensis"
"23","AY664834 Juniperus communis","AY664834","Juniperus_communis","atpB.fasta","Juniperus_communis"
"24","AJ419157 Leersia oryzoides","AJ419157","Leersia_oryzoides","atpB.fasta","Leersia_oryzoides"
"25","HQ620745 Mollugo verticillata","HQ620745","Mollugo_verticillata","atpB.fasta","Mollugo_verticillata"
"26","KT176249 Monarda fistulosa","KT176249","Monarda_fistulosa","atpB.fasta","Monarda_fistulosa"
"27","KT176250 Nepeta cataria","KT176250","Nepeta_cataria","atpB.fasta","Nepeta_cataria"
"28","AY935861 Oxalis stricta","AY935861","Oxalis_stricta","atpB.fasta","Oxalis_stricta"
"29","KT176253 Penstemon gracilis","KT176253","Penstemon_gracilis","atpB.fasta","Penstemon_gracilis"
"30","AJ235555 Penthorum sedoides","AJ235555","Penthorum_sedoides","atpB.fasta","Penthorum_sedoides"
"31","DQ781006 Phleum pratense","DQ781006","Phleum_pratense","atpB.fasta","Phleum_pratense"
"32","HQ384710 Phryma leptostachya","HQ384710","Phryma_leptostachya","atpB.fasta","Phryma_leptostachya"
"33","KT176259 Physalis virginiana","KT176259","Physalis_virginiana","atpB.fasta","Physalis_virginiana"
"34","AF209658 Populus tremuloides","AF209658","Populus_tremuloides","atpB.fasta","Populus_tremuloides"
